Date,Open,High,Low,Close,Adj Close,Volume
2018-10-09,0.015531,0.015746,0.014915,0.015415,0.015415,267394
2018-10-10,0.015294,0.015401,0.014704,0.015114,0.015114,197436
2018-10-11,0.015102,0.023938,0.013832,0.019601,0.019601,7353610
2018-10-12,0.019295,0.021805,0.016850,0.019610,0.019610,12237100
2018-10-13,0.019222,0.020983,0.018767,0.019311,0.019311,7432910
2018-10-14,0.019246,0.019402,0.017371,0.017732,0.017732,3121890
2018-10-15,0.017808,0.019018,0.017277,0.018442,0.018442,2583770
2018-10-16,0.018420,0.022387,0.018420,0.022210,0.022210,7884130
2018-10-17,0.022995,0.030398,0.022537,0.028019,0.028019,31834600
2018-10-18,0.027632,0.033955,0.027496,0.029616,0.029616,40571500
2018-10-19,0.029651,0.031612,0.027950,0.027950,0.027950,12146300
2018-10-20,0.027851,0.031479,0.026881,0.030646,0.030646,8415480
2018-10-21,0.030779,0.045609,0.030779,0.042169,0.042169,51085400
2018-10-22,0.042200,0.065749,0.041251,0.058590,0.058590,175353000
2018-10-23,0.058568,0.060791,0.045543,0.045994,0.045994,69140700
2018-10-24,0.045800,0.058498,0.043331,0.050404,0.050404,90776200
2018-10-25,0.051805,0.056088,0.050122,0.052646,0.052646,78158100
2018-10-26,0.053012,0.055351,0.051848,0.052997,0.052997,36956100
2018-10-27,0.052843,0.052901,0.045399,0.050660,0.050660,56299000
2018-10-28,0.051358,0.052055,0.047645,0.049659,0.049659,32365800
2018-10-29,0.049547,0.049793,0.044622,0.046296,0.046296,15576400
2018-10-30,0.046485,0.046753,0.039258,0.041351,0.041351,25327800
2018-10-31,0.041940,0.045810,0.039282,0.040727,0.040727,25839400
2018-11-01,0.040550,0.047534,0.039686,0.046979,0.046979,27604500
2018-11-02,0.046948,0.051183,0.045007,0.047699,0.047699,57340400
2018-11-03,0.047869,0.049168,0.046030,0.048807,0.048807,15543100
2018-11-04,0.049243,0.050375,0.045104,0.046198,0.046198,17499900
2018-11-05,0.046251,0.046705,0.041705,0.042783,0.042783,20804400
2018-11-06,0.042851,0.043642,0.040873,0.042698,0.042698,11109100
2018-11-07,0.042788,0.044989,0.042039,0.043799,0.043799,13923900
2018-11-08,0.043741,0.043873,0.040925,0.040970,0.040970,8824350
2018-11-09,0.041119,0.041649,0.037114,0.038544,0.038544,14802400
2018-11-10,0.038444,0.041252,0.036964,0.039901,0.039901,15898100
2018-11-11,0.039883,0.040040,0.037738,0.038529,0.038529,9941930
2018-11-12,0.038962,0.038962,0.037065,0.037762,0.037762,7006640
2018-11-13,0.037760,0.037760,0.035203,0.035553,0.035553,8261330
2018-11-14,0.035331,0.036437,0.026772,0.028716,0.028716,14812600
2018-11-15,0.028955,0.029270,0.023778,0.026827,0.026827,9397040
2018-11-16,0.027123,0.029052,0.026054,0.026907,0.026907,8798130
2018-11-17,0.027100,0.027426,0.025603,0.026142,0.026142,3995390
2018-11-18,0.026288,0.029312,0.026259,0.028661,0.028661,9149700
2018-11-19,0.028823,0.028823,0.019963,0.021883,0.021883,12677900
2018-11-20,0.021634,0.022498,0.017759,0.018562,0.018562,8861140
2018-11-21,0.018564,0.020286,0.017717,0.020101,0.020101,4837250
2018-11-22,0.020017,0.020258,0.018197,0.018239,0.018239,2760660
2018-11-23,0.017979,0.018181,0.016451,0.017105,0.017105,4613770
2018-11-24,0.017054,0.017894,0.014992,0.015732,0.015732,4049830
2018-11-25,0.015753,0.018582,0.013561,0.018305,0.018305,6511990
2018-11-26,0.018151,0.020471,0.016084,0.018043,0.018043,15103000
2018-11-27,0.018026,0.021219,0.017053,0.020863,0.020863,14745200
2018-11-28,0.020852,0.023072,0.020029,0.021503,0.021503,13572100
2018-11-29,0.021643,0.022019,0.019323,0.020159,0.020159,6465719
2018-11-30,0.020196,0.020787,0.017649,0.018162,0.018162,4278712
2018-12-01,0.018361,0.020998,0.017697,0.020312,0.020312,5565349
