,date,height_RVN,flow_RVN,stock_RVN,open_RVN,high_RVN,low_RVN,close_RVN,adj_close_RVN,volume_RVN,open_BTC,high_BTC,low_BTC,close_BTC,adj_close_BTC,volume_BTC
94,2018-04-07,7425000,7425000,777995000,0.037014,0.041654000000000004,0.036898,0.040532,0.040532,251242.0,6630.509765999999,7050.540039,6630.509765999999,6911.089844,6911.089844,3976610048.0
95,2018-04-08,7125000,7125000,785120000,0.040364,0.042727999999999995,0.040364,0.042151,0.042151,305840.0,6919.97998,7111.560059,6919.97998,7023.52002,7023.52002,3652499968.0
96,2018-04-09,7215000,7215000,792335000,0.042214999999999996,0.043492,0.037286,0.040487,0.040487,306250.0,7044.319823999999,7178.109863,6661.990234000001,6770.72998,6770.72998,4894060032.0
97,2018-04-10,7075000,7075000,799410000,0.040526,0.040809,0.034898,0.038963,0.038963,2017920.0,6795.439941,6872.410156,6704.149902,6834.759765999999,6834.759765999999,4272750080.0
98,2018-04-11,7380000,7380000,806790000,0.039069,0.03953,0.036873,0.038198,0.038198,251900.0,6843.470215,6968.319823999999,6817.589844,6968.319823999999,6968.319823999999,4641889792.0
99,2018-04-12,6415000,6415000,813205000,0.038574000000000004,0.042796,0.036863,0.040003,0.040003,331989.0,6955.379883,7899.22998,6806.509765999999,7889.25,7889.25,8906250240.0
100,2018-04-13,6635000,6635000,819840000,0.040006,0.041207,0.036160000000000005,0.039954,0.039954,369097.0,7901.089844,8183.959961,7758.930176000001,7895.959961,7895.959961,7764460032.0
101,2018-04-14,7230000,7230000,827070000,0.039998,0.042427,0.03689,0.037558,0.037558,290152.0,7874.669922,8140.709961,7846.0,7986.240234000001,7986.240234000001,5191430144.0
102,2018-04-15,6545000,6545000,833615000,0.03768,0.038409,0.030797,0.035643,0.035643,346408.0,7999.330078,8338.419922,7999.330078,8329.110352,8329.110352,5244480000.0
103,2018-04-16,6545000,6545000,840160000,0.03596,0.037776,0.029585000000000004,0.033911000000000004,0.033911000000000004,289734.0,8337.570313,8371.150391,7925.72998,8058.669922,8058.669922,5631309824.0
104,2018-04-17,6815000,6815000,846975000,0.033925,0.034589999999999996,0.032036,0.033924,0.033924,227382.0,8071.660156,8285.959961,7881.720215,7902.089844,7902.089844,6900879872.0
105,2018-04-18,7260000,7260000,854235000,0.033937,0.035768,0.031922000000000006,0.034416,0.034416,268242.0,7944.430176000001,8197.799805,7886.009765999999,8163.419922,8163.419922,6529909760.0
106,2018-04-19,7540000,7540000,861775000,0.034417,0.038865,0.033018,0.038213,0.038213,373843.0,8159.27002,8298.69043,8138.779785,8294.30957,8294.30957,7063209984.0
107,2018-04-20,7460000,7460000,869235000,0.038256,0.038916,0.033898000000000005,0.036853,0.036853,411616.0,8286.879883,8880.230469,8244.540039,8845.830078,8845.830078,8438110208.0
108,2018-04-21,6925000,6925000,876160000,0.036937,0.038926,0.035073,0.037691,0.037691,592313.0,8848.790039,8997.570313,8652.150391,8895.580078,8895.580078,7548550144.0
109,2018-04-22,6845000,6845000,883005000,0.037701,0.037719,0.034473000000000004,0.034585000000000005,0.034585000000000005,494366.0,8925.05957,9001.639648,8779.610352,8802.459961,8802.459961,6629899776.0
110,2018-04-23,6685000,6685000,889690000,0.034495,0.037545999999999996,0.034475,0.037089,0.037089,491270.0,8794.389648,8958.549805,8788.80957,8930.879883,8930.879883,6925190144.0
111,2018-04-24,7135000,7135000,896825000,0.037186000000000004,0.037619,0.035127,0.035751,0.035751,492001.0,8934.339844,9732.610352,8927.830078,9697.5,9697.5,10678800384.0
112,2018-04-25,6940000,6940000,903765000,0.035636,0.035997,0.028560000000000002,0.031401,0.031401,228810.0,9701.030273,9745.320313,8799.839844,8845.740234,8845.740234,11083100160.0
113,2018-04-26,6660000,6660000,910425000,0.031567000000000005,0.033754,0.030199,0.033076999999999995,0.033076999999999995,214584.0,8867.320313,9281.509766,8727.089844,9281.509766,9281.509766,8970559488.0
114,2018-04-27,6415000,6415000,916840000,0.03312,0.035881,0.027849000000000002,0.033569999999999996,0.033569999999999996,243629.0,9290.629883,9375.469727,8987.049805,8987.049805,8987.049805,7566289920.0
115,2018-04-28,8090000,8090000,924930000,0.033527999999999995,0.03514,0.028037,0.033832999999999995,0.033832999999999995,341170.0,8939.269531,9412.089844,8931.990234,9348.480469,9348.480469,7805479936.0
116,2018-04-29,7325000,7325000,932255000,0.033821,0.035147000000000005,0.027764999999999998,0.031452999999999995,0.031452999999999995,220497.0,9346.410156,9531.490234,9193.709961,9419.080078,9419.080078,8853000192.0
117,2018-04-30,6690000,6690000,938945000,0.031263,0.034644,0.030149000000000002,0.033908999999999995,0.033908999999999995,256312.0,9426.110352,9477.139648,9166.80957,9240.549805,9240.549805,8673920000.0
118,2018-05-01,6800000,6800000,945745000,0.034735,0.034735,0.027745,0.034145,0.034145,295863.0,9251.469727,9255.879883,8891.049805,9119.009766,9119.009766,7713019904.0
119,2018-05-02,8040000,8040000,953785000,0.034359,0.04333,0.0338,0.04319,0.04319,749478.0,9104.599609,9256.519531,9015.139648,9235.919922,9235.919922,7558159872.0
120,2018-05-03,8640000,8640000,962425000,0.043197,0.057464999999999995,0.041983,0.054248000000000005,0.054248000000000005,1197660.0,9233.969727,9798.330078,9188.150391,9743.860352,9743.860352,10207299584.0
121,2018-05-04,8470000,8470000,970895000,0.054304,0.05779,0.034980000000000004,0.051117,0.051117,978881.0,9695.5,9779.200195,9585.959961,9700.759766,9700.759766,8217829888.0
122,2018-05-05,7045000,7045000,977940000,0.051279,0.054867,0.044841000000000006,0.048073000000000005,0.048073000000000005,501585.0,9700.280273,9964.5,9695.120117,9858.150391,9858.150391,7651939840.0
123,2018-05-06,6490000,6490000,984430000,0.048006,0.05184400000000001,0.045482,0.049578,0.049578,487603.0,9845.30957,9940.139648,9465.25,9654.799805,9654.799805,7222280192.0
124,2018-05-07,7155000,7155000,991585000,0.052414999999999996,0.052414999999999996,0.046858,0.0496,0.0496,480291.0,9645.669922,9665.849609,9231.530273,9373.009766,9373.009766,7394019840.0
125,2018-05-08,7590000,7590000,999175000,0.04997,0.05221699999999999,0.046669999999999996,0.048596,0.048596,585106.0,9380.870117,9462.75,9127.769531,9234.820313,9234.820313,7415869952.0
126,2018-05-09,8010000,8010000,1007185000,0.048428,0.04913,0.046955000000000004,0.04866,0.04866,1036650.0,9223.730469,9374.759766,9031.620117,9325.179688,9325.179688,7226890240.0
127,2018-05-10,7545000,7545000,1014730000,0.048651,0.054273,0.048621,0.052275999999999996,0.052275999999999996,932847.0,9325.959961,9396.040039,9040.519531,9043.94043,9043.94043,6906699776.0
128,2018-05-11,6775000,6775000,1021505000,0.052258000000000006,0.052691999999999996,0.044041000000000004,0.045515,0.045515,561293.0,9052.959961,9052.959961,8394.459961,8441.490234,8441.490234,8488520192.0
129,2018-05-12,6890000,6890000,1028395000,0.045349,0.04616,0.043023,0.043902,0.043902,457302.0,8441.44043,8664.860352,8223.5,8504.889648,8504.889648,6821380096.0
130,2018-05-13,7490000,7490000,1035885000,0.043883,0.049086000000000005,0.043149,0.045752,0.045752,850933.0,8515.490234,8773.549805,8395.120117,8723.94043,8723.94043,5866379776.0
131,2018-05-14,6830000,6830000,1042715000,0.04579,0.048264,0.044327,0.046312,0.046312,432963.0,8713.099609,8881.120117,8367.969727,8716.790039,8716.790039,7364149760.0
132,2018-05-15,6460000,6460000,1049175000,0.046271,0.046964,0.043512999999999996,0.04452,0.04452,436894.0,8705.19043,8836.19043,8456.450195,8510.379883,8510.379883,6705710080.0
133,2018-05-16,6795000,6795000,1055970000,0.044521,0.044674,0.041106000000000004,0.041530000000000004,0.041530000000000004,436141.0,8504.410156,8508.429688,8175.490234000001,8368.830078,8368.830078,6760220160.0
134,2018-05-17,6940000,6940000,1062910000,0.041504,0.043917000000000005,0.036149,0.03665,0.03665,369081.0,8370.049805,8445.540039,8054.120117,8094.319823999999,8094.319823999999,5862530048.0
135,2018-05-18,6940000,6940000,1069850000,0.036680000000000004,0.03996,0.035717,0.037932,0.037932,335849.0,8091.830078,8274.120117,7974.819823999999,8250.969727,8250.969727,5764190208.0
136,2018-05-19,7085000,7085000,1076935000,0.038306,0.040784,0.03751,0.037775,0.037775,229854.0,8255.730469,8372.05957,8183.350098000001,8247.179688,8247.179688,4712399872.0
137,2018-05-20,7655000,7655000,1084590000,0.037793,0.041149,0.037695,0.039062,0.039062,544533.0,8246.990234,8562.410156,8205.240234,8513.25,8513.25,5191059968.0
138,2018-05-21,7360000,7360000,1091950000,0.039091,0.040994,0.038008,0.03943,0.03943,365831.0,8522.330078,8557.519531,8365.120117,8418.990234,8418.990234,5154990080.0
139,2018-05-22,7010000,7010000,1098960000,0.039501,0.042520999999999996,0.037370999999999995,0.037370999999999995,0.037370999999999995,490521.0,8419.870117,8423.25,8004.580078,8041.779785,8041.779785,5137010176.0
140,2018-05-23,6765000,6765000,1105725000,0.037364999999999995,0.038978,0.036995,0.037183999999999995,0.037183999999999995,507144.0,8037.080078,8054.660156,7507.879883,7557.819823999999,7557.819823999999,6491120128.0
141,2018-05-24,7105000,7105000,1112830000,0.037176,0.037883,0.034497,0.036627999999999994,0.036627999999999994,259493.0,7561.120117,7738.600098000001,7331.140137,7587.339844,7587.339844,6049220096.0
142,2018-05-25,6945000,6945000,1119775000,0.036897000000000006,0.037127,0.034691,0.035427,0.035427,317797.0,7592.299805,7659.140137,7392.649901999999,7480.140137,7480.140137,4867829760.0
143,2018-05-26,7030000,7030000,1126805000,0.03537,0.036154,0.034488,0.034501,0.034501,282742.0,7486.47998,7595.160156,7349.120117,7355.879883,7355.879883,4051539968.0
144,2018-05-27,7685000,7685000,1134490000,0.034508,0.035636,0.033901,0.035179,0.035179,328707.0,7362.080078,7381.740234000001,7270.959961,7368.220215,7368.220215,4056519936.0
145,2018-05-28,6960000,6960000,1141450000,0.035177999999999994,0.035291,0.029174000000000002,0.029704,0.029704,297591.0,7371.310059,7419.049805,7100.890137,7135.990234000001,7135.990234000001,5040600064.0
146,2018-05-29,7020000,7020000,1148470000,0.029692000000000003,0.034063,0.029692000000000003,0.034063,0.034063,364544.0,7129.459961,7526.419922,7090.680176000001,7472.589844,7472.589844,5662660096.0
147,2018-05-30,6855000,6855000,1155325000,0.030866,0.032533,0.028591000000000002,0.029702,0.029702,284707.0,7469.72998,7573.77002,7313.600098000001,7406.52002,7406.52002,4922540032.0
148,2018-05-31,7320000,7320000,1162645000,0.029595999999999997,0.033514999999999996,0.029299000000000002,0.033424,0.033424,481572.0,7406.149901999999,7608.899901999999,7361.129883,7494.169922,7494.169922,5127130112.0
149,2018-06-01,7625000,7625000,1170270000,0.033438,0.033949,0.029617,0.030598,0.030598,317649.0,7500.700195,7604.72998,7407.339844,7541.450195,7541.450195,4921460224.0
150,2018-06-02,7020000,7020000,1177290000,0.030316000000000003,0.032369,0.030292000000000003,0.0321,0.0321,452174.0,7536.720215,7695.830078,7497.259765999999,7643.450195,7643.450195,4939299840.0
151,2018-06-03,6955000,6955000,1184245000,0.032132,0.032186,0.030001,0.030736000000000003,0.030736000000000003,368214.0,7632.089844,7754.890137,7613.040039,7720.25,7720.25,4851760128.0
152,2018-06-04,6835000,6835000,1191080000,0.030746,0.031467,0.029941000000000002,0.030077,0.030077,350035.0,7722.529785,7753.819823999999,7474.040039,7514.470215,7514.470215,4993169920.0
153,2018-06-05,7105000,7105000,1198185000,0.030083,0.03034,0.028120999999999997,0.030195,0.030195,291967.0,7500.899901999999,7643.22998,7397.0,7633.759765999999,7633.759765999999,4961739776.0
154,2018-06-06,7010000,7010000,1205195000,0.030189999999999998,0.030647000000000004,0.028873000000000003,0.029521,0.029521,476985.0,7625.970215,7680.430176000001,7502.009765999999,7653.97998,7653.97998,4692259840.0
155,2018-06-07,7140000,7140000,1212335000,0.029554,0.030197,0.028994,0.029325,0.029325,288514.0,7650.819823999999,7741.27002,7650.819823999999,7678.240234000001,7678.240234000001,4485799936.0
156,2018-06-08,7500000,7500000,1219835000,0.029336,0.029480000000000003,0.02744,0.027951999999999998,0.027951999999999998,169508.0,7685.140137,7698.189941,7558.399901999999,7624.919922,7624.919922,4227579904.0
